CA	organ_age	Age_group
54.1	56.3	[54,57)
41.8	42.4	[39,42)
60.6	60.6	[60,63)
61.6	52	[60,63)
65.7	56.3	[63,66)
75.3	71.4	[75,78)
50.1	43.4	[48,51)
71.9	67	[69,72)
28	27.1	[27,30)
29.5	23	[27,30)
38.5	41.1	[36,39)
50.1	46.1	[48,51)
73	71.9	[72,75)
45.7	43.7	[45,48)
77	70.8	[75,78)
32.9	32.5	[30,33)
73.5	74.3	[72,75)
72.1	70.4	[72,75)
40	44.4	[39,42)
35.8	43.9	[33,36)
53.9	48.4	[51,54)
61.1	58.8	[60,63)
58.5	59.1	[57,60)
47.1	41	[45,48)
48.7	49.4	[48,51)
60.5	60.4	[60,63)
78.8	74.4	[78,81)
38.1	40.2	[36,39)
60.2	57.7	[60,63)
52.5	49.7	[51,54)
70.9	73.8	[69,72)
64.8	60.2	[63,66)
44.1	50.2	[42,45)
52.5	49	[51,54)
33.5	34.3	[33,36)
34.2	37.7	[33,36)
60.4	57.4	[60,63)
32.9	23.3	[30,33)
59.9	58.6	[57,60)
59.4	49.3	[57,60)
59.1	60.4	[57,60)
44.1	44.6	[42,45)
43.5	29.7	[42,45)
19.4	24.7	[18,21)
28.7	29.3	[27,30)
47.3	46.8	[45,48)
54.2	45.7	[54,57)
59.3	56.2	[57,60)
35.1	31	[33,36)
71	66.2	[69,72)
21	24.7	[21,24)
71.5	73.1	[69,72)
48	40.7	[48,51)
76	76.6	[75,78)
30	24.4	[30,33)
70.6	70.7	[69,72)
49.3	41.6	[48,51)
43.9	42.8	[42,45)
70.2	61.4	[69,72)
42.8	37.2	[42,45)
50.7	57.6	[48,51)
38.5	35.8	[36,39)
36.1	32.2	[36,39)
48.5	51.1	[48,51)
41	42.1	[39,42)
31	36.4	[30,33)
52.3	55	[51,54)
73.8	72.6	[72,75)
60.5	67.4	[60,63)
72	72.6	[72,75)
53.8	52.2	[51,54)
51.5	49.5	[51,54)
55.5	61.4	[54,57)
54.3	66.1	[54,57)
50.3	46.6	[48,51)
57.3	69	[57,60)
67.8	66.6	[66,69)
42.8	45.6	[42,45)
72.2	68.4	[72,75)
46.7	53	[45,48)
69.2	72.4	[69,72)
33.9	47	[33,36)
44.3	48.8	[42,45)
70.7	72.4	[69,72)
52.7	64	[51,54)
67.3	68	[66,69)
73.4	71.8	[72,75)
30.8	30.5	[30,33)
47.1	41	[45,48)
31.8	28.7	[30,33)
51.9	52.4	[51,54)
61.2	65.6	[60,63)
75.5	72	[75,78)
40	35.7	[39,42)
44.6	43.8	[42,45)
69	74.6	[69,72)
73.8	74.4	[72,75)
70.8	60.6	[69,72)
49.1	52.3	[48,51)
64.8	62.8	[63,66)
53.5	46	[51,54)
57.8	53	[57,60)
34.5	33.6	[33,36)
53.2	39.5	[51,54)
50.5	49.8	[48,51)
40.3	38.2	[39,42)
58.4	56.9	[57,60)
50.6	54.7	[48,51)
64.9	58.3	[63,66)
33.7	36.6	[33,36)
36.3	31.4	[36,39)
45	52.7	[45,48)
42.3	33.3	[42,45)
67.7	72.5	[66,69)
76.1	70.3	[75,78)
55	67.2	[54,57)
40	37.8	[39,42)
40	39.4	[39,42)
58.7	49	[57,60)
59.8	62.5	[57,60)
52	54.2	[51,54)
43.1	43.8	[42,45)
51.3	50.1	[51,54)
70.2	71.5	[69,72)
67.1	64.9	[66,69)
57	47.8	[57,60)
53.7	55.3	[51,54)
69.4	69.7	[69,72)
71.8	68.9	[69,72)
72.8	78.8	[72,75)
31.5	33	[30,33)
29.6	24.4	[27,30)
75.8	69.8	[75,78)
