CA	organ_age	Age_group
60.4	53.1	[60,63)
39.1	35.4	[39,42)
49.6	51.5	[48,51)
61.1	58.5	[60,63)
40.1	38.1	[39,42)
60.1	53	[60,63)
54.2	57.7	[54,57)
24.1	22.4	[24,27)
32.4	31.9	[30,33)
34.1	37.3	[33,36)
60.4	66	[60,63)
79.8	74.2	[78,81)
35.2	37.4	[33,36)
44.3	52.3	[42,45)
64.5	67	[63,66)
43.6	60.5	[42,45)
56.7	56.3	[54,57)
26.7	24.5	[24,27)
26.6	25.6	[24,27)
67.1	67.2	[66,69)
29.7	26.5	[27,30)
31.8	36.2	[30,33)
55	58.3	[54,57)
59.6	55.3	[57,60)
40.3	42.7	[39,42)
48.9	44	[48,51)
26.5	33.8	[24,27)
54	65.1	[54,57)
30.6	31	[30,33)
63.6	70.4	[63,66)
31.4	28.5	[30,33)
32.6	30.5	[30,33)
49.6	56.4	[48,51)
62.2	62.3	[60,63)
44.9	49.8	[42,45)
69.2	66.2	[69,72)
48.3	42.5	[48,51)
60.5	58.1	[60,63)
72.9	72.3	[72,75)
34.1	37.7	[33,36)
32.1	29.2	[30,33)
66.7	69.5	[66,69)
40.6	44	[39,42)
51.7	49.1	[51,54)
44.8	42.6	[42,45)
41.1	64.8	[39,42)
69.4	71.2	[69,72)
53.1	45.6	[51,54)
32.1	32.2	[30,33)
63.6	72.4	[63,66)
63.5	76.2	[63,66)
67.4	71.8	[66,69)
36.6	42.1	[36,39)
74.2	71.7	[72,75)
54.7	64.8	[54,57)
74.2	68.8	[72,75)
54.9	52.4	[54,57)
59.9	70.3	[57,60)
22.5	23.6	[21,24)
64.2	62.2	[63,66)
45.4	40.4	[45,48)
43.3	39.6	[42,45)
43	44.6	[42,45)
46.4	50.9	[45,48)
48	52.1	[48,51)
49.7	44.9	[48,51)
29.8	33.7	[27,30)
64.4	61.6	[63,66)
62.4	65.2	[60,63)
69.1	67.7	[69,72)
45.2	52.7	[45,48)
57.8	55.5	[57,60)
51.5	55.3	[51,54)
31	37.4	[30,33)
63.4	62.8	[63,66)
42.2	37.9	[42,45)
39.8	39.5	[39,42)
79.3	70.8	[78,81)
56.6	51.2	[54,57)
67.9	65.5	[66,69)
59.2	59.4	[57,60)
69.4	73.1	[69,72)
47	51.5	[45,48)
50.6	40.4	[48,51)
77.6	71	[75,78)
52.5	52	[51,54)
39.1	30.8	[39,42)
72.9	73.2	[72,75)
44.7	40.6	[42,45)
42.8	55.7	[42,45)
71.2	73.5	[69,72)
76.6	73.8	[75,78)
55.6	67	[54,57)
44.3	45.9	[42,45)
62.3	60	[60,63)
48.5	48.6	[48,51)
35.4	36.1	[33,36)
37.5	38.5	[36,39)
72.1	76.9	[72,75)
63.7	67	[63,66)
49.2	50.3	[48,51)
70.7	69.7	[69,72)
64.3	71.7	[63,66)
61.6	71.4	[60,63)
37	40.2	[36,39)
41.3	38.3	[39,42)
34.3	39.5	[33,36)
57.6	61.6	[57,60)
63.4	65.9	[63,66)
72.2	67.9	[72,75)
46.2	40.8	[45,48)
66.9	59.8	[66,69)
32	29.8	[30,33)
29.1	36.4	[27,30)
54.1	50	[54,57)
43.6	41.4	[42,45)
54.2	48.1	[54,57)
28.7	34.8	[27,30)
51.5	56.1	[51,54)
35	30.8	[33,36)
46.3	51.5	[45,48)
63	62.3	[63,66)
45	47.2	[45,48)
36.2	40.5	[36,39)
51.4	49.9	[51,54)
38.9	26.2	[36,39)
68.3	72.9	[66,69)
32.3	43.4	[30,33)
65.8	69.7	[63,66)
72	75.1	[72,75)
46.3	41.8	[45,48)
28.4	30.3	[27,30)
42.2	40.4	[42,45)
65.1	64.7	[63,66)
44.7	47.2	[42,45)
32.1	31.7	[30,33)
28.1	33.6	[27,30)
49.5	54.8	[48,51)
76.5	75.8	[75,78)
45.1	45.5	[45,48)
46	47.2	[45,48)
47.3	42.5	[45,48)
68	62.3	[66,69)
28.6	30.1	[27,30)
38.2	30.8	[36,39)
