CA	organ_age	Age_group
29.4	33.4	[27,30)
67.2	73.1	[66,69)
47.2	45.5	[45,48)
28.3	28.5	[27,30)
60.4	63	[60,63)
71.9	72.9	[69,72)
50.1	50.6	[48,51)
52.1	47.3	[51,54)
27.9	26.6	[27,30)
47.8	37.3	[45,48)
72.1	73.7	[72,75)
27.3	31.3	[27,30)
46.5	49.9	[45,48)
43.3	51.5	[42,45)
54.2	49.8	[54,57)
65.8	57.3	[63,66)
69.1	66.4	[69,72)
31.7	28.5	[30,33)
48.9	57	[48,51)
40.3	36	[39,42)
61.3	54.4	[60,63)
32.4	34.7	[30,33)
56	53.2	[54,57)
58.8	48	[57,60)
41.8	45.3	[39,42)
67	71	[66,69)
61.2	76.8	[60,63)
46.5	45.6	[45,48)
23.8	26.4	[21,24)
23.1	27.8	[21,24)
73	67.2	[72,75)
70	71.4	[69,72)
39.4	32.9	[39,42)
49.2	55.3	[48,51)
50.1	50.3	[48,51)
59.1	53.6	[57,60)
60.1	53.5	[60,63)
45.5	46.5	[45,48)
33.8	31.7	[33,36)
68.5	64.6	[66,69)
75.8	78.6	[75,78)
41.9	51.3	[39,42)
26.4	30.1	[24,27)
51.6	50.2	[51,54)
65	74.5	[63,66)
56.9	53.1	[54,57)
77.3	74.8	[75,78)
48.1	38.5	[48,51)
54.3	45.4	[54,57)
32.7	28.3	[30,33)
48.9	41	[48,51)
21.3	29.5	[21,24)
60.9	66.5	[60,63)
62.6	63.1	[60,63)
60.6	55.9	[60,63)
49.9	55.7	[48,51)
73.9	77.4	[72,75)
39.2	38.1	[39,42)
32	31.1	[30,33)
60.7	54.5	[60,63)
34	36.2	[33,36)
47.9	45.7	[45,48)
61.3	69	[60,63)
54.6	66.4	[54,57)
45	46.2	[45,48)
48.7	41.7	[48,51)
61.1	64.7	[60,63)
52	45.9	[51,54)
37.8	37.3	[36,39)
45.7	54.6	[45,48)
45.4	42.9	[45,48)
33.2	33.1	[33,36)
49.2	49.5	[48,51)
72.3	65.5	[72,75)
61.6	56	[60,63)
39.1	50	[39,42)
52.8	55.5	[51,54)
54.8	53.1	[54,57)
53.9	50.6	[51,54)
46.1	41.2	[45,48)
59.2	55.5	[57,60)
20.7	22.5	[18,21)
41.2	42.9	[39,42)
52.7	65.5	[51,54)
38.9	50.2	[36,39)
40.2	34.6	[39,42)
42.4	44	[42,45)
52.7	54	[51,54)
54.1	48.2	[54,57)
64.4	68.5	[63,66)
41.6	37.4	[39,42)
38.5	37.4	[36,39)
50.9	45.8	[48,51)
36.7	34.4	[36,39)
27.6	35.3	[27,30)
37.4	33.4	[36,39)
27.4	36.5	[27,30)
53.3	52.7	[51,54)
73.4	66.2	[72,75)
43.6	36.3	[42,45)
30.2	24.6	[30,33)
50.4	55.6	[48,51)
51.1	50.4	[51,54)
66.2	72.7	[66,69)
28.2	30.2	[27,30)
31.9	36.2	[30,33)
28.2	31.9	[27,30)
58.5	52.3	[57,60)
64.9	71.5	[63,66)
69.1	73.2	[69,72)
60.6	52.9	[60,63)
27.1	32.6	[27,30)
50.3	54.3	[48,51)
38.7	40.3	[36,39)
72.9	71.6	[72,75)
28.8	32.6	[27,30)
62.8	66	[60,63)
34.9	35.7	[33,36)
51.8	49.5	[51,54)
20.9	26.6	[18,21)
32.9	33.4	[30,33)
62.2	59.4	[60,63)
22.6	21.5	[21,24)
66.5	67.2	[66,69)
65	68.1	[63,66)
56.8	61	[54,57)
58.4	62	[57,60)
61.3	63.6	[60,63)
57.4	51.8	[57,60)
32.8	24.7	[30,33)
62	65.5	[60,63)
38.4	52.1	[36,39)
59.2	66.1	[57,60)
51.3	56.3	[51,54)
32.3	31.8	[30,33)
65	72.2	[63,66)
56.6	58.1	[54,57)
51.4	57.9	[51,54)
75.7	63.1	[75,78)
54.2	60	[54,57)
29	29	[27,30)
