CA	organ_age	Age_group
60.8	73.6	[60,63)
62.3	66.5	[60,63)
63.1	72.3	[63,66)
60.5	57.8	[60,63)
47	52.5	[45,48)
72	72.4	[72,75)
41.1	32.9	[39,42)
34.4	32.9	[33,36)
78.5	68.1	[78,81)
48.2	51.4	[48,51)
76.9	74.1	[75,78)
38.3	44.4	[36,39)
68.4	73.4	[66,69)
49.8	50.8	[48,51)
54.4	55.2	[54,57)
51.2	54.4	[51,54)
38.8	45.8	[36,39)
74.5	66.2	[72,75)
32.4	38.1	[30,33)
69.4	72.1	[69,72)
53.8	52.4	[51,54)
49.2	47.4	[48,51)
78.4	73.2	[78,81)
43.4	39.7	[42,45)
58.2	50.3	[57,60)
63.1	63.8	[63,66)
77	68.7	[75,78)
64.1	67.8	[63,66)
51.1	49.5	[51,54)
56.5	60.2	[54,57)
34.5	31.3	[33,36)
67.5	71.2	[66,69)
59.6	54.2	[57,60)
41.9	36.1	[39,42)
43.4	40.4	[42,45)
56.6	50.3	[54,57)
64.3	69.5	[63,66)
29.5	33.9	[27,30)
33.7	33.9	[33,36)
68.9	75	[66,69)
62.8	70.6	[60,63)
34.6	38.4	[33,36)
35.3	34.4	[33,36)
64.5	77.4	[63,66)
67.6	67.9	[66,69)
50	46.6	[48,51)
54.1	54.3	[54,57)
42	52.8	[42,45)
46.9	50.9	[45,48)
57.3	64	[57,60)
48.5	41.2	[48,51)
50.8	45.8	[48,51)
36.9	42.4	[36,39)
55.9	55.3	[54,57)
71.8	77.9	[69,72)
39.8	39.1	[39,42)
58.2	44.4	[57,60)
67.4	73.2	[66,69)
59.9	52	[57,60)
63.1	67.3	[63,66)
64.2	56.2	[63,66)
56.1	49.2	[54,57)
61.6	65	[60,63)
60.8	55.1	[60,63)
67.8	63.1	[66,69)
51.2	55.7	[51,54)
34.3	49.1	[33,36)
25.2	27.3	[24,27)
59.9	53.8	[57,60)
74.7	78.6	[72,75)
55.5	57.4	[54,57)
71.1	69.4	[69,72)
46.1	49.3	[45,48)
