CA	organ_age	Age_group
31.2	37.3	[30,33)
70.6	70.9	[69,72)
63.5	58.1	[63,66)
53.9	42	[51,54)
57.4	51.7	[57,60)
53.5	53	[51,54)
64.5	70.6	[63,66)
45.1	45	[45,48)
77.6	76.1	[75,78)
45.2	57.5	[45,48)
47.6	46.6	[45,48)
56.7	62.5	[54,57)
25.3	41.9	[24,27)
56.8	51.5	[54,57)
53.6	54.3	[51,54)
66.9	68.5	[66,69)
33	35.7	[33,36)
28.5	26.9	[27,30)
32.8	35.2	[30,33)
62.2	63.7	[60,63)
50.4	49.3	[48,51)
73.7	70.7	[72,75)
34	37.6	[33,36)
31.6	35.7	[30,33)
55.9	52.2	[54,57)
66.3	61.6	[66,69)
75.5	76.2	[75,78)
30.9	33	[30,33)
59	57.5	[57,60)
34.4	30.2	[33,36)
51.6	50.6	[51,54)
52.8	53.6	[51,54)
35.9	42	[33,36)
32	35.2	[30,33)
40.5	39	[39,42)
71.7	71.6	[69,72)
46	47.1	[45,48)
64.7	73.1	[63,66)
61.6	67.5	[60,63)
47.3	47.9	[45,48)
72.1	65.9	[72,75)
49	50.1	[48,51)
41.2	35.2	[39,42)
75.7	73.6	[75,78)
39.3	37.4	[39,42)
64.8	69.8	[63,66)
74	52	[72,75)
45.9	45.2	[45,48)
62.7	66.7	[60,63)
62.5	60.8	[60,63)
67.1	67.4	[66,69)
35.5	46.5	[33,36)
69.6	64.6	[69,72)
29.6	37	[27,30)
77	70.9	[75,78)
26.4	33.2	[24,27)
26.9	30.8	[24,27)
44	47.9	[42,45)
67.8	67.5	[66,69)
43.2	50.1	[42,45)
50.4	57.4	[48,51)
24.6	23.5	[24,27)
68.4	70.3	[66,69)
72.9	68	[72,75)
60	74.3	[60,63)
61.4	69.5	[60,63)
40.8	33.5	[39,42)
71	73.4	[69,72)
52.7	58.7	[51,54)
37.3	39.5	[36,39)
54.7	51.5	[54,57)
52.1	63.4	[51,54)
36.9	37.9	[36,39)
46.5	47.9	[45,48)
34.8	34.7	[33,36)
69.2	75	[69,72)
57.8	65.3	[57,60)
56.4	52.1	[54,57)
72.8	70.9	[72,75)
54.5	54	[54,57)
38.7	38.8	[36,39)
47.8	46.3	[45,48)
42.4	39.9	[42,45)
44.4	40.7	[42,45)
